ID,NAME,PCLASS,AGE,SEX,SURVIVED
107,"Hays, Mr Charles Melville",1,55.00,0,0
108,"Hays, Mrs Charles Melville (Clara Jennings Gregg)",1,52.00,1,1
109,"Hays, Miss Margaret Bechstein",1,24.00,1,1
110,"Hippach, Miss Jean Gertrude",1,16.00,1,1
111,"Hippach, Mrs Louis Albert (Ida Sophia Fischer)",1,44.00,1,1
112,"Hogeboom, Mrs John C (Anna Andrews)",1,51.00,1,1
113,"Holverson, Mr Alexander Oskar",1,42.00,0,0
114,"Holverson, Mrs Alexander Oskar (Mary Aline Towner)",1,35.00,1,1
115,"Homer, Mr Harry",1,35.00,0,1
116,"Hoyt, Mr Frederick Maxfield",1,38.00,0,1
117,"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)",1,35.00,1,1
118,"Isham, Miss Anne Elizabeth",1,50.00,1,0
119,"Ismay, Mr Joseph Bruce",1,49.00,0,1
120,"Jones, Mr Charles Cresson",1,46.00,0,0
121,"Kent, Mr Edward Austin",1,58.00,0,0
122,"Kenyon, Mr Frederick R",1,41.00,0,0
123,"Kimball, Mr Edwin Nelson Jr",1,42.00,0,1
124,"Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons)",1,40.00,1,1
125,"Lindeberg-Lind, Mr Erik Gustaf",1,42.00,0,0
126,"Lindstrom, Mrs Carl Johan (Sigrid Posse)",1,55.00,1,1
127,"Lines, Mrs Ernest H (Elizabeth Lindsey James)",1,50.00,1,1
128,"Lines, Miss Mary Conover",1,16.00,1,1
129,"Long, Mr Milton Clyde",1,29.00,0,0
130,"Longley, Miss Gretchen Fiske",1,21.00,1,1
131,"Loring, Mr Joseph Holland",1,30.00,0,0
132,"Madill, Miss Georgette Alexandra",1,15.00,1,1
133,"Maguire, Mr John Edward",1,30.00,0,0
134,"McCaffry, Mr Thomas Francis",1,46.00,0,0
135,"McCarthy, Mr Timothy J",1,54.00,0,0
136,"McGough, Mr James R",1,36.00,0,1
137,"Meyer, Mr Edgar Joseph",1,28.00,0,0
138,"Millet, Mr Francis Davis",1,65.00,0,0
139,"Minahan, Miss Daisy E",1,33.00,1,1
140,"Minahan, Dr William Edward",1,44.00,0,0
141,"Minahan, Mrs William Edward (Lillian E Thorpe)",1,37.00,1,1
142,"Molson, Mr Harry Markland",1,55.00,0,0
143,"Moore, Mr Clarence Bloomfield",1,47.00,0,0
144,"Natsch, Mr Charles H",1,36.00,0,0
145,"Newell, Mr Arthur Webster",1,58.00,0,0
146,"Newell, Miss Madeleine",1,31.00,1,1
147,"Newell, Miss Marjorie",1,23.00,1,1
148,"Newsom, Miss Helen Monypeny",1,19.00,1,1
149,"Nicholson, Mr Arthur Ernest",1,64.00,0,0
150,"Ostby, Mr Engelhart Cornelius",1,64.00,0,0
151,"Ostby, Miss Helen Raghnild",1,22.00,1,1
152,"Ovies y Rodriguez, Mr Servando",1,28.00,0,0
153,"Payne, Mr Vivian Ponsonby",1,22.00,0,0
154,"Penasco, Mr Victor de Satode",1,18.00,0,0
155,"Penasco, Mrs Victor de Satode (Josefa de Soto)",1,17.00,1,1
156,"Peuchen, Major Arthur Godfrey",1,52.00,0,1
157,"Porter, Mr Walter Chamberlain",1,46.00,0,0
158,"Potter, Mrs Thomas, Jr (Lily Alexenia Wilson)",1,56.00,1,1
159,"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)",1,43.00,1,1
160,"Roebling, Mr Washington Augustus 2nd",1,31.00,0,0
161,"Rosenbaum (Russell), Miss Edith Louise",1,33.00,1,1
162,"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)",1,27.00,1,1
163,"Rothschild, Mr Martin",1,55.00,0,0
164,"Rothschild, Mrs Martin (Elizabeth L Barrett)",1,54.00,1,1
165,"Ryerson, Mr Arthur Larned",1,61.00,0,0
166,"Ryerson, Mrs Arthur Larned (Emily Maria Borie)",1,48.00,1,1
167,"Ryerson, Miss Emily Borie",1,18.00,1,1
168,"Ryerson, Master John Borie",1,13.00,0,1
169,"Ryerson, Miss Susan (Suzette) Parker",1,21.00,1,1
170,"Seward, Mr Frederic Kimber",1,34.00,0,1
171,"Shutes, Miss Elizabeth W",1,40.00,1,1
172,"Silverthorne, Mr Spencer Victor",1,36.00,0,1
173,"Silvey, Mr William Baird",1,50.00,0,0
174,"Silvey, Mrs William Baird (Alice Munger)",1,39.00,1,1
175,"Simonius-Blumer, Col Alfons",1,56.00,0,1
176,"Sloper, Mr William Thompson",1,28.00,0,1
177,"Smart, Mr John Montgomery",1,56.00,0,0
178,"Smith, Mr James Clinch",1,56.00,0,0
179,"Smith, Mr Lucien Philip",1,24.00,0,0
180,"Smith, Mrs Lucien Philip (Mary Eloise Hughes",1,18.00,1,1
181,"Snyder, Mr John Pillsbury",1,24.00,0,1
182,"Snyder, Mrs John Pillsbury (Nelle Stevenson)",1,23.00,1,1
183,"Spedden, Mr Frederick Oakley",1,45.00,0,1
184,"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)",1,40.00,1,1
185,"Spedden, Master Robert Douglas",1,6.00,0,1
186,"Spencer, Mr William Augustus",1,57.00,0,0
187,"Staehlin, Dr Max",1,32.00,0,1
188,"Stead, Mr William Thomas",1,62.00,0,0
189,"Stengel, Mr Charles Emil Henry",1,54.00,0,1
190,"Stengel, Mrs Charles Emil Henry (Annie May Morris)",1,43.00,1,1
191,"Stephenson, Mrs Walter Bertram (Martha Eustis)",1,52.00,1,1
192,"Stone, Mrs George Nelson (Martha E)",1,62.00,1,1
193,"Straus, Mr Isidor",1,67.00,0,0
194,"Straus, Mrs Isidor (Ida Blun)",1,63.00,1,0
195,"Sutton, Mr Frederick",1,61.00,0,0
196,"Swift, Mrs Frederick Joel (Margaret Welles Barron)",1,46.00,1,1
197,"Taussig, Mr Emil",1,52.00,0,0
198,"Taussig, Mrs Emil (Tillie Mandelbaum)",1,39.00,1,1
199,"Taussig, Miss Ruth",1,18.00,1,1
200,"Taylor, Mr Elmer Zebley",1,48.00,0,1
201,"Thayer, Mr John Borland",1,49.00,0,0
202,"Thayer, Mrs John Borland (Marian Longstreth Morris)",1,39.00,1,1
203,"Thayer, Mr John Borland, jr",1,17.00,0,1
204,"Thorne, Mr George (alias of: Mr George Rosenshine)",1,46.00,0,0
205,"Tucker, Mr Gilbert Milligan, jr",1,31.00,0,1
206,"Van Derhoef, Mr Wyckoff",1,61.00,0,0
207,"Walker, Mr William Anderson",1,47.00,0,0
208,"Warren, Mr Frank Manley",1,64.00,0,0
209,"Warren, Mrs Frank Manley (Anna S Atkinson)",1,60.00,1,1
210,"Weir, Col John",1,60.00,0,0
211,"White, Mrs J Stuart (Ella Holmes)",1,55.00,1,1
212,"White, Mr Percival Wayland",1,54.00,0,0
213,"White, Mr Richard Frasar",1,21.00,0,0
214,"Wick, Mr George Dennick",1,57.00,0,0
215,"Wick, Mrs George Dennick (Martha Hitchcock)",1,45.00,1,1
216,"Wick, Miss Mary Natalie",1,31.00,1,1
217,"Widener, Mr George Dunton",1,50.00,0,0
218,"Widener, Mrs George Dunton (Eleanor Elkins)",1,50.00,1,1
219,"Widener, Mr Harry Elkins",1,27.00,0,0
220,"Willard, Miss Constance",1,20.00,1,1
221,"Williams, Mr Charles Duane",1,51.00,0,0
222,"Williams, Mr Richard Norris II",1,21.00,0,1
223,"Young, Miss Marie Grice",1,36.00,1,1
224,"Harrison, Mr William 	Henry",1,40.00,0,0
225,"Keeping, Mr Edwin",1,32.00,0,0
226,"Ringhini, Mr Sante",1,33.00,0,0
227,"Abelson, Mr Samuel",2,30.00,0,0
228,"Abelson, Mrs Samuel (Anna)",2,28.00,1,1
229,"Andrew, Mr Edgar Samuel",2,18.00,0,0
230,"Angle, Mr William A",2,34.00,0,0
231,"Angle, Mrs William A (Florence)",2,32.00,1,1
232,"Ashby, Mr John",2,57.00,0,0
233,"Bailey, Mr Percy Andrew",2,18.00,0,0
234,"Baimbrigge, Mr Charles R",2,23.00,0,0
235,"Balls, Mrs Ada E Hall",2,36.00,1,1
236,"Banfield, Mr Frederick J",2,28.00,0,0
237,"Bateman, Rev Robert James",2,51.00,0,0
238,"Beane, Mr Edward",2,32.00,0,1
239,"Beane, Mrs Edward (Ethel Clarke)",2,19.00,1,1
240,"Beauchamp, Mr Henry James",2,28.00,0,0
241,"Becker, Mrs Allen Oliver (Nellie E Baumgardner)",2,36.00,1,1
242,"Becker, Miss Marion Louise",2,4.00,1,1
243,"Becker, Master Richard F",2,1.00,0,1
244,"Becker, Miss Ruth Elizabeth",2,12.00,1,1
245,"Beesley, Mr Lawrence",2,34.00,0,1
246,"Bentham, Miss Lilian W",2,19.00,1,1
247,"Berriman, Mr William S",2,23.00,0,0
248,"Botsford, Mr William Hull",2,26.00,0,0
249,"Bracken, Mr James H",2,27.00,0,0
250,"Brown, Miss Edith E",2,15.00,1,1
251,"Brown, Mr Thomas William Solomon",2,45.00,0,0
252,"Brown, Mrs Thomas William Solomon (Elizabeth C)",2,40.00,1,1
253,"Bryhl, Miss Dagmar",2,20.00,1,1
254,"Bryhl, Mr Kurt Arnold Gottfrid",2,25.00,0,0
255,"Buss, Miss Kate",2,36.00,1,1
256,"Butler, Mr Reginald Fenton",2,25.00,0,0
257,"Bystrom, Mrs Carolina",2,42.00,1,1
258,"Caldwell, Mr Albert Francis",2,26.00,0,1
259,"Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)",2,26.00,1,1
260,"Caldwell, Master Alden Gates",2,.83,0,1
261,"Cameron, Miss Clear",2,31.00,1,1
262,"Carbines, Mr William",2,19.00,0,0
263,"Carter, Rev Ernest Courtenay",2,54.00,0,0
264,"Carter, Mrs Ernest Courtenay (Lillian Hughes)",2,44.00,1,0
265,"Chapman, Mr Charles Henry",2,52.00,0,0
266,"Chapman, Mr John Henry",2,30.00,0,0
267,"Chapman, Mrs John Henry (Elizabeth Lawry)",2,30.00,1,0
268,"Clarke, Mr Charles V",2,29.00,0,0
269,"Coleridge, Mr Reginald Charles",2,29.00,0,0
270,"Collander, Mr Erik",2,27.00,0,0
271,"Collett, Mr Sidney C Stuart",2,24.00,0,1
272,"Collyer, Mr Harvey",2,35.00,0,0
273,"Collyer, Mrs Harvey (Charlotte Tate)",2,31.00,1,1
274,"Collyer, Miss Marjorie",2,8.00,1,1
275,"Cook, Mrs Selena Rogers",2,22.00,1,0
276,"Corbett, Mrs Walter H (Irene Colvin)",2,30.00,1,0
277,"Cotterill, Mr Harry",2,20.00,0,0
278,"Davies, Mr Charles Henry",2,21.00,0,0
279,"Davis, Mrs Agnes",2,49.00,1,1
280,"Davis, Master John Morgan",2,8.00,0,1
281,"Davis, Miss Mary",2,28.00,1,1
282,"Deacon, Mr Percy",2,18.00,0,0
283,"del Carlo, Mr Sebastiano",2,28.00,0,0
284,"del Carlo, Mrs Sebastiano (Argenia Genovese)",2,22.00,1,1
285,"Denbury, Mr Herbert",2,25.00,0,0
286,"Dibden, Mr William",2,18.00,0,0
287,"Doling, Mrs Ada",2,32.00,1,1
288,"Doling, Miss Elsie",2,18.00,1,1
289,"Drew, Mr James Vivian",2,42.00,0,0
290,"Drew, Mrs James Vivian (Lulu Thorne Christian)",2,34.00,1,1
291,"Drew, Master Marshall Brines",2,8.00,0,1
292,"Eitemiller, Mr George Floyd",2,23.00,0,0
293,"Enander, Mr Ingvar",2,21.00,0,0
294,"Fahlstrom, Mr Arne Jonas",2,19.00,0,0
295,"Fox, Mr Stanley H",2,38.00,0,0
296,"Funk, Miss Annie C",2,38.00,1,0
297,"Fynney, Mr Joseph J",2,35.00,0,0
298,"Gale, Mr Harry",2,35.00,0,0
299,"Gale, Mr Shadrach",2,38.00,0,0
300,"Garside, Miss Ethel",2,24.00,1,1
301,"Gaskell, Mr Alfred",2,16.00,0,0
302,"Gavey, Mr Lawrence",2,26.00,0,0
303,"Gilbert, Mr William",2,45.00,0,0
304,"Giles, Mr Edgar",2,24.00,0,0
305,"Giles, Mr Frederick",2,21.00,0,0
306,"Giles, Mr Ralph",2,22.00,0,0
307,"Gillespie, Mr William",2,34.00,0,0
308,"Givard, Mr Hans Christensen",2,30.00,0,0
309,"Greenberg, Mr Samuel",2,50.00,0,0
310,"Hale, Mr Reginald",2,30.00,0,0
311,"Hamalainen, Mrs William (Anna)",2,23.00,1,1
312,"Hamalainen, Master Viljo",2,1.00,0,1
313,"Harbeck, Mr William H",2,44.00,0,0
314,"Harper, Rev John",2,28.00,0,0
315,"Harper, Miss Nina",2,6.00,1,1
316,"Harris, Mr George",2,30.00,0,1
317,"Hart, Mr Benjamin",2,43.00,0,0
318,"Hart, Mrs Benjamin (Esther)",2,45.00,1,1
319,"Hart, Miss Eva Miriam",2,7.00,1,1
320,"Herman, Miss Alice",2,24.00,1,1
321,"Herman, Miss Kate",2,24.00,1,1
322,"Herman, Mr Samuel",2,49.00,0,0
323,"Herman, Mrs Samuel (Jane Laver)",2,48.00,1,1
324,"Hickman, Mr Leonard Mark",2,34.00,0,0
325,"Hickman, Mr Lewis",2,32.00,0,0
326,"Hickman, Mr Stanley George",2,21.00,0,0
327,"Hiltunen, Miss Marta",2,18.00,1,0
328,"Hocking, Mrs Elizabeth",2,53.00,1,1
329,"Hocking, Mr George",2,23.00,0,0
330,"Hocking, Miss Ellen (Nellie)",2,21.00,1,1
331,"Hodges, Mr Henry Price",2,52.00,0,0
332,"Hold, Mr Stephen",2,42.00,0,0
333,"Hold, Mrs Stephen (Annie Margaret)",2,36.00,1,1
334,"Hood, Mr Ambrose, Jr",2,21.00,0,0
335,"Hosono, Mr Masafumi",2,41.00,0,1
336,"Hunt, Mr George Henry",2,33.00,0,0
337,"Ilett, Miss Bertha",2,17.00,1,1
338,"Jerwan, Mrs Amin S (Marie Thuillard)",2,23.00,1,1
339,"Kantor, Mr Sinai",2,34.00,0,0
340,"Karnes, Mrs J Frank (Claire Bennett)",2,22.00,1,0
341,"Kelly, Mrs Florence (Fannie)",2,45.00,1,1
342,"Kvillner, Mr Johan Henrik Johannesson",2,31.00,0,0
343,"Lahtinen, Rev William",2,30.00,0,0
344,"Lahtinen, Mrs William (Anna Sylvan)",2,26.00,1,0
345,"Lemore, Mrs Amelia",2,34.00,1,1
346,"LaRoche, Mr Joseph",2,26.00,0,0
347,"LaRoche, Mrs Joseph (Juliet)",2,22.00,1,1
348,"LaRoche, Miss Louise",2,1.00,1,1
349,"LaRoche, Miss Simonne",2,3.00,1,1
350,"Leyson, Mr Robert William Norman",2,25.00,0,0
351,"Louch, Mr Charles Alexander",2,48.00,0,0
352,"Mack, Mrs Mary",2,57.00,1,0
353,"Mallet, Master Andre",2,2.00,0,1
354,"Mantvila, Rev Joseph",2,27.00,0,0
355,"Marshall, Mrs Kate Louise Phillips",2,19.00,1,1
356,"Matthews, Mr William John",2,30.00,0,0
357,"Maybery, Mr Frank H",2,20.00,0,0
358,"McCrae, Mr Arthur Gordon",2,45.00,0,0
359,"McKane, Mr Peter D",2,46.00,0,0
360,"Mellenger, Mrs Elizabeth Anne",2,41.00,1,1
361,"Mellenger, Miss Madeleine Violet",2,13.00,1,1
362,"Mellor, Mr William John",2,19.00,0,1
363,"Meyer, Mr August",2,30.00,0,0
364,"Milling, Mr Jacob Christian",2,48.00,0,0
365,"Mitchell, Mr Henry Michael",2,71.00,0,0
366,"Moraweck, Dr Ernest",2,54.00,0,0
367,"Myles, Mr Thomas Francis",2,64.00,0,0
368,"Nasser (Nasrallah), Mr Nicholas",2,32.00,0,0
369,"Nasser (Nasrallah), Mrs Nicholas",2,18.00,1,1
370,"Navratil, Master Edmond Roger",2,2.00,0,1
371,"Navratil, Mr Michel",2,32.00,0,0
372,"Navratil, Master Michel M",2,3.00,0,1
373,"Nesson, Mr Israel",2,26.00,0,0
374,"Nicholls, Mr Joseph Charles",2,19.00,0,0
375,"Nourney, Mr Alfred (aka Baron von Drachstedt)",2,20.00,0,1
376,"Nye, Mrs Elizabeth Ramell",2,29.00,1,1
377,"Otter, Mr Richard",2,39.00,0,0
378,"Oxenham, Mr Percy Thomas",2,22.00,0,1
379,"Pain, Dr Alfred",2,24.00,0,0
380,"Parker, Mr Clifford R",2,28.00,0,0
381,"Parrish, Mrs Lutie Davis",2,50.00,1,1
382,"Pengelly, Mr Frederick",2,20.00,0,0
383,"Peruschitz, Rev Joseph M",2,40.00,0,0
384,"Phillips, Miss Alice",2,42.00,1,1
385,"Phillips, Mr Robert",2,21.00,0,0
386,"Pinsky, Miss Rosa",2,32.00,1,1
387,"Ponesell, Mr Martin",2,34.00,0,0
388,"Quick, Mrs Frederick C (Jane Richards)",2,33.00,1,1
389,"Quick, Miss Phyllis May",2,2.00,1,1
390,"Quick, Miss Winifred Vera",2,8.00,1,1
391,"Reeves, Mr David",2,36.00,0,0
392,"Renouf, Mr Peter Henry",2,34.00,0,0
393,"Renouf, Mrs Peter Henry (Lillian Jefferys)",2,30.00,1,1
394,"Reynaldo, Mrs Encarnacion",2,28.00,1,1
395,"Richard, Mr Emil",2,23.00,0,0
396,"Richards, Master George Sidney",2,.80,0,1
397,"Richards, Mrs Sidney (Emily Hocking)",2,25.00,1,1
398,"Richards, Master William Rowe",2,3.00,0,1
399,"Ridsdale, Miss Lucy",2,50.00,1,1
400,"Rugg, Miss Emily",2,21.00,1,1
401,"Shelley, Mrs William (Imanita)",2,25.00,1,1
402,"Silven, Miss Lyyli",2,18.00,1,1
403,"Sincock, Miss Maude",2,20.00,1,1
404,"Siukonnen, Miss Anna",2,30.00,1,1
405,"Sjostedt, Mr Ernst Adolf",2,59.00,0,0
406,"Slayter, Miss Hilda Mary",2,30.00,1,1
407,"Slemen, Mr Richard James",2,35.00,0,0
408,"Smith (Schmidt), Mr Augustus",2,22.00,0,0
409,"Sobey, Mr Hayden",2,25.00,0,0
410,"Stanton, Mr Samuel Ward",2,41.00,0,0
411,"Stokes, Mr Philip Joseph",2,25.00,0,0
412,"Sweet, Mr George",2,14.00,0,0
413,"Toomey, Miss Ellen",2,50.00,1,1
414,"Troupiansky, Mr Moses Aaron",2,22.00,0,0
415,"Troutt, Miss Edwina Celia",2,27.00,1,1
416,"Turpin, Mr William John",2,29.00,0,0
417,"Turpin, Mrs William John (Dorothy Anne Wonnacott)",2,27.00,1,0
418,"Veale, Mr James",2,30.00,0,0
419,"Waelens, Mr Achille",2,22.00,0,0
420,"Walcroft, Miss Nellie",2,35.00,1,1
421,"Ware, Mr John James",2,30.00,0,0
422,"Ware, Mrs John James (Florence Louise Long)",2,28.00,1,1
423,"Ware, Mr William J",2,23.00,0,0
424,"Watt, Miss Bertha",2,12.00,1,1
425,"Watt, Mrs James (Bessie Inglis Milne)",2,40.00,1,1
426,"Webber, Miss Susan",2,36.00,1,1
427,"Weisz, Mr Leopold",2,28.00,0,0
428,"Weisz, Mrs Leopold (Mathilde)",2,32.00,1,1
429,"Wells, Mrs Arthur H (Addie Trevaskis)",2,29.00,1,1
430,"Wells, Miss Joan",2,4.00,1,1
431,"Wells, Master Ralph Lester",2,2.00,0,1
432,"West, Mr Edwy Arthur",2,36.00,0,0
433,"West, Mrs Edwy Arthur (Ada Mary)",2,33.00,1,1
434,"Wilhelms, Mr Charles",2,32.00,0,1
435,"Wright, Miss Marion",2,26.00,1,1
436,"Aldworth, Mr Charles Augustus",2,30.00,0,0
437,"Brown, Miss Mildred",2,24.00,1,1
438,"Swane, Mr George",2,18.00,0,0
439,"Abbing, Mr Anthony",3,42.00,0,0
440,"Abbott, Master Eugene Joseph",3,13.00,0,0
441,"Abbott, Mr Rossmore Edward",3,16.00,0,0
442,"Abbott, Mrs Stanton (Rosa)",3,35.00,1,1
443,"Abelseth, Miss Anna Karen",3,16.00,1,1
444,"Abelseth, Mr Olaus",3,25.00,0,1
445,"Abraham, Mrs Joseph (Sophie Easu)",3,18.00,1,1
446,"Abrahamsson, Mr August",3,20.00,0,1
447,"Adahl, Mr Mauritz Nils Martin",3,30.00,0,0
448,"Adams, Mr John",3,26.00,0,0
449,"Ahlin, Mrs Johanna Persdotter",3,40.00,1,0
450,"Ahmed, Mr Ali",3,24.00,0,0
451,"Aijo-Nirva, Mr Isak",3,41.00,0,0
452,"Aks, Mrs Sam (Leah Rosen)",3,18.00,1,1
453,"Aks, Master Philip",3,.83,0,1
454,"Alexander, Mr William",3,23.00,0,0
455,"Alhomaki, Mr Ilmari Rudolf",3,20.00,0,0
456,"Ali, Mr William",3,25.00,0,0
457,"Allen, Mr William Henry",3,35.00,0,0
458,"Allum, Mr Owen George",3,17.00,0,0
459,"Andersen, Mr Albert Karvin",3,32.00,0,0
460,"Andersen, Mr Thor Olsvigen",3,20.00,0,0
461,"Andersson, Mr Anders Johan",3,39.00,0,0
462,"Andersson, Mrs Anders Johan (Alfrida K Brogren)",3,39.00,1,0
463,"Andersson, Miss Ebba Iris",3,6.00,1,0
464,"Andersson, Miss Ellis Anna Maria",3,2.00,1,0
465,"Andersson, Miss Erna",3,17.00,1,1
