"psych" "income" "city" "age"
574 13.83 "Haifa" 34
595 8.48 "Haifa" 35
338 4.41 "Haifa" 33
530 12.34 "Haifa" 32
488 7.48 "Haifa" 28
625 16.06 "Haifa" 41
632 13.24 "Haifa" 36
666 17.91 "Haifa" 30
520 6.33 "Haifa" 27
499 10.24 "Haifa" 32
435 10.4 "Haifa" 29
552 16.83 "Haifa" 28
455 7.1 "Haifa" 31
482 14.02 "Haifa" 29
530 13.72 "Haifa" 32
647 15.72 "Haifa" 33
800 27.03 "Haifa" 27
553 10.17 "Haifa" 35
570 7.52 "Haifa" 32
594 13.79 "Haifa" 36
580 10.68 "Haifa" 22
599 12.49 "Haifa" 34
582 10.49 "Haifa" 30
416 4.86 "Haifa" 30
594 11.21 "Haifa" 30
546 7.9 "Haifa" 31
535 9.25 "Haifa" 24
653 21.69 "Haifa" 30
476 8.35 "Haifa" 30
650 19.89 "Haifa" 33
370 4.02 "Haifa" 29
513 9.35 "Haifa" 30
646 11.55 "Haifa" 29
554 18.45 "Haifa" 31
524 13.86 "Haifa" 25
590 11.65 "Haifa" 24
555 15.71 "Haifa" 27
381 4.17 "Haifa" 23
526 8.75 "Haifa" 36
691 18.19 "Haifa" 36
650 14.89 "Haifa" 19
553 11.93 "Haifa" 30
579 23.1 "TLV" 34
532 16.08 "TLV" 24
429 10.36 "TLV" 29
549 15.63 "TLV" 29
556 18.16 "TLV" 31
527 13.92 "TLV" 31
460 8.08 "TLV" 32
410 7.45 "TLV" 38
442 12.38 "TLV" 34
507 12.64 "TLV" 28
481 8.51 "TLV" 33
602 17.95 "TLV" 34
510 8.95 "TLV" 34
623 21.44 "TLV" 30
540 15.85 "TLV" 22
540 15.36 "TLV" 38
509 13.64 "TLV" 32
565 24.04 "TLV" 37
513 20.77 "TLV" 35
576 18.72 "TLV" 31
462 13.62 "TLV" 34
481 9.21 "TLV" 33
710 31.59 "TLV" 33
613 12.76 "TLV" 34
482 8.48 "TLV" 36
459 8.83 "TLV" 25
581 20.87 "TLV" 22
411 8.63 "TLV" 28
479 10.82 "TLV" 32
607 23.52 "TLV" 28
638 28.51 "TLV" 29
427 7.59 "TLV" 31
599 19.55 "TLV" 27
555 16.03 "TLV" 28
576 17.62 "TLV" 30
431 12.26 "TLV" 26
604 20.07 "TLV" 38
512 15.48 "TLV" 23
462 11.73 "TLV" 34
500 14.75 "TLV" 22
607 18.59 "TLV" 25
598 24.55 "TLV" 35
424 9.41 "TLV" 31
594 23.15 "TLV" 33
582 12.61 "TLV" 32
543 15.84 "TLV" 31
578 15.19 "TLV" 29
526 13.21 "TLV" 31
603 23.8 "TLV" 23
611 19.7 "TLV" 24
598 16.57 "TLV" 25
715 27.86 "TLV" 31
469 8.63 "TLV" 31
572 19.04 "TLV" 30
465 10.43 "TLV" 28
535 14.58 "TLV" 35
571 16.63 "TLV" 29
800 44.81 "TLV" 28
523 10.34 "TLV" 33
487 11.64 "TLV" 23
559 18.03 "TLV" 31
521 11.44 "TLV" 31
530 18.84 "TLV" 33
595 27.03 "TLV" 24
456 7.59 "TLV" 32
618 22.1 "TLV" 33
674 26.29 "TLV" 28
453 9.18 "TLV" 38
680 23.9 "TLV" 31
530 13.12 "TLV" 37
563 22.95 "TLV" 29
550 20.33 "TLV" 32
524 12.76 "TLV" 27
577 17.34 "TLV" 37
500 13.7 "TLV" 29
512 11.53 "TLV" 35
582 23.44 "TLV" 31
615 12.1 "TLV" 30
528 16.02 "TLV" 36
483 14.71 "TLV" 31
562 15.73 "TLV" 25
552 16.5 "TLV" 26
564 24.33 "TLV" 28
451 10.93 "TLV" 38
584 16.82 "TLV" 22
401 9.97 "TLV" 30
423 10.93 "TLV" 39
616 13.55 "TLV" 32
545 15.47 "TLV" 35
622 17.76 "TLV" 37
520 24.07 "TLV" 34
590 19.59 "TLV" 32
490 14.31 "TLV" 24
549 14.1 "TLV" 22
646 19.04 "TLV" 25
540 16.11 "TLV" 30
683 24.33 "TLV" 29
517 15.63 "TLV" 35
584 13.17 "TLV" 31
472 5.97 "TLV" 27
638 25.53 "TLV" 28
535 12.47 "TLV" 22
490 10.3 "TLV" 36
545 14.92 "TLV" 23
503 12.07 "TLV" 34
608 18.86 "TLV" 35
536 16.11 "TLV" 35
558 19.79 "TLV" 31
610 20.55 "TLV" 27
569 21.06 "TLV" 34
475 21.93 "TLV" 31
660 24.16 "TLV" 27
599 15.24 "TLV" 31
667 22.8 "TLV" 33
601 14.63 "TLV" 30
498 11.19 "TLV" 33
517 21.5 "TLV" 30
457 10.87 "TLV" 33
511 10.95 "TLV" 28
461 13.46 "TLV" 26
461 9.67 "TLV" 28
542 19.42 "TLV" 36
700 29.5 "TLV" 29
689 32.7 "TLV" 28
509 13.59 "TLV" 33
727 26.9 "TLV" 29
594 18.88 "TLV" 40
570 21.36 "TLV" 32
539 15.19 "TLV" 37
505 8.87 "TLV" 32
551 11.98 "TLV" 23
538 13.81 "TLV" 35
630 24.86 "TLV" 32
686 26.26 "TLV" 26
644 27.06 "TLV" 32
622 19.85 "TLV" 34
479 7.88 "TLV" 26
596 25.63 "TLV" 25
503 19.13 "TLV" 33
606 19.21 "TLV" 27
580 15.24 "TLV" 33
558 19.77 "TLV" 34
495 12.88 "TLV" 33
683 29.33 "TLV" 31
588 17.28 "TLV" 25
595 16.94 "TLV" 31
584 17.94 "TLV" 31
533 13.9 "TLV" 28
565 13.9 "TLV" 29
552 13.69 "TLV" 26
430 6.38 "TLV" 31
536 14.63 "TLV" 22
642 19.14 "TLV" 29
686 16.03 "TLV" 32
513 13.14 "TLV" 23
643 27.53 "TLV" 27
524 20.14 "TLV" 28
444 10.38 "TLV" 34
642 24.21 "TLV" 38
459 11.29 "TLV" 30
747 24.64 "TLV" 25
441 9.81 "TLV" 30
554 19.54 "TLV" 29
510 14.51 "TLV" 31
403 8.34 "TLV" 28
597 14.39 "TLV" 33
488 18.74 "TLV" 24
509 10.97 "TLV" 25
694 25.37 "TLV" 26
482 17.41 "TLV" 33
635 19.88 "TLV" 31
468 12.58 "TLV" 27
507 15.79 "TLV" 28
605 24.03 "TLV" 36
473 15.73 "TLV" 26
507 14.22 "TLV" 34
620 27.51 "TLV" 36
531 17.47 "TLV" 25
662 29.39 "TLV" 39
658 20.72 "TLV" 29
507 10.93 "TLV" 36
660 17.93 "TLV" 29
592 22 "TLV" 24
479 11.58 "TLV" 26
480 8.86 "TLV" 28
511 14.23 "TLV" 32
456 15.94 "TLV" 30
483 16.41 "TLV" 24
753 30.78 "TLV" 34
540 10.12 "TLV" 31
509 10.15 "TLV" 28
488 8.82 "TLV" 34
516 18.17 "TLV" 36
548 11.11 "TLV" 28
516 12.12 "TLV" 25
407 9.54 "TLV" 23
592 22.68 "TLV" 33
423 9.94 "TLV" 28
460 13.38 "TLV" 33
424 10.54 "TLV" 38
455 10.05 "TLV" 35
510 21.89 "TLV" 28
666 26.01 "TLV" 24
502 10.65 "TLV" 37
508 17.96 "TLV" 37
565 12.55 "TLV" 27
501 12.01 "TLV" 36
555 16.37 "TLV" 34
528 12.37 "TLV" 33
591 19.45 "TLV" 28
593 19.92 "TLV" 30
507 14.32 "TLV" 28
573 18.22 "TLV" 34
556 14.29 "TLV" 29
563 15.92 "TLV" 34
437 10.9 "TLV" 30
493 8.54 "TLV" 25
538 16.58 "TLV" 34
475 14.42 "TLV" 31
621 26.1 "TLV" 27
527 24.18 "TLV" 27
549 14.68 "TLV" 26
632 16.02 "TLV" 30
601 21.25 "TLV" 35
629 22.03 "TLV" 33
498 14.39 "TLV" 28
500 16.75 "TLV" 33
573 22.8 "TLV" 23
554 18.89 "TLV" 33
517 11.9 "TLV" 36
535 12.56 "TLV" 34
486 10.96 "TLV" 26
495 12.17 "TLV" 28
618 21.26 "TLV" 29
555 18.96 "TLV" 25
525 14.06 "TLV" 35
575 15.26 "TLV" 23
465 10.55 "TLV" 29
585 22.11 "TLV" 29
474 10.45 "TLV" 30
593 21.66 "TLV" 30
521 14.9 "TLV" 35
539 14.81 "TLV" 28
776 36.05 "TLV" 38
443 15.23 "TLV" 33
476 11 "TLV" 34
538 10.93 "TLV" 23
515 11.74 "TLV" 27
598 23.4 "TLV" 30
539 15.5 "TLV" 27
615 11.57 "TLV" 26
543 14.37 "TLV" 36
686 31.74 "TLV" 22
544 14.42 "TLV" 27
539 12.46 "TLV" 32
599 22.64 "TLV" 29
696 28.93 "TLV" 26
572 21.92 "TLV" 37
608 22.41 "TLV" 31
539 27.57 "TLV" 22
560 12.93 "TLV" 28
654 24.08 "TLV" 36
591 16.8 "TLV" 38
536 10.33 "TLV" 33
392 4.32 "TLV" 30
605 21.69 "TLV" 21
651 25.02 "TLV" 36
488 15.65 "TLV" 27
369 9.45 "TLV" 32
505 16.8 "TLV" 25
475 13.89 "TLV" 32
601 20.13 "TLV" 20
514 20.45 "TLV" 39
370 7.8 "TLV" 27
534 18.29 "TLV" 33
633 21.44 "TLV" 22
457 9.34 "TLV" 31
583 21.65 "TLV" 38
693 30.49 "TLV" 34
494 10.34 "TLV" 32
597 15.51 "TLV" 28
554 21.59 "TLV" 29
596 17.7 "TLV" 42
481 15.15 "TLV" 28
440 10.71 "TLV" 28
447 10.48 "TLV" 27
439 4.68 "TLV" 25
574 22.99 "TLV" 32
500 15.93 "TLV" 31
458 10.22 "TLV" 35
514 13.68 "TLV" 32
626 23.43 "TLV" 25
511 13.49 "TLV" 29
544 18.06 "TLV" 30
630 20.38 "TLV" 39
468 20 "TLV" 26
645 31 "TLV" 29
544 13.66 "TLV" 33
599 30.59 "TLV" 27
522 14.35 "TLV" 28
575 16.46 "TLV" 27
551 17.06 "TLV" 23
444 16.95 "TLV" 18
477 9.62 "TLV" 30
564 19.36 "TLV" 25
513 17.68 "TLV" 31
532 12.71 "TLV" 33
656 27.8 "TLV" 27
584 22.23 "TLV" 30
428 12.97 "TLV" 27
389 12.51 "TLV" 30
676 31.15 "TLV" 27
514 17.76 "TLV" 27
526 10.65 "TLV" 33
452 10.09 "TLV" 28
376 6.43 "TLV" 34
564 22.95 "TLV" 31
596 25.78 "TLV" 28
704 28.69 "TLV" 28
548 17.15 "TLV" 31
458 11.57 "TLV" 27
488 6.85 "TLV" 35
449 8.34 "TLV" 29
592 19.95 "TLV" 28
679 25.48 "TLV" 29
448 12.84 "TLV" 31
513 11.96 "TLV" 31
650 25.02 "TLV" 25
482 9.18 "TLV" 36
649 20.82 "TLV" 23
500 22.07 "TLV" 28
532 11.82 "TLV" 35
632 27.95 "TLV" 30
534 17.78 "Jerusalem" 26
421 6.24 "Jerusalem" 28
402 5.78 "Jerusalem" 26
528 13.13 "Jerusalem" 34
413 4.95 "Jerusalem" 33
592 14.81 "Jerusalem" 29
479 10.02 "Jerusalem" 26
592 20.14 "Jerusalem" 26
403 11.77 "Jerusalem" 35
594 13.92 "Jerusalem" 33
546 18.09 "Jerusalem" 21
531 14.68 "Jerusalem" 30
464 11.2 "Jerusalem" 34
489 12.91 "Jerusalem" 26
566 12.68 "Jerusalem" 29
663 15.11 "Jerusalem" 21
570 11.7 "Jerusalem" 29
532 8.59 "Jerusalem" 27
625 21.82 "Jerusalem" 34
547 14.16 "Jerusalem" 25
524 11.63 "Jerusalem" 28
484 7.54 "Jerusalem" 34
543 16.59 "Jerusalem" 29
515 12.93 "Jerusalem" 28
534 14.37 "Jerusalem" 30
443 12.88 "Jerusalem" 29
528 10.46 "Jerusalem" 28
558 11.18 "Jerusalem" 31
499 14.38 "Jerusalem" 25
410 7.92 "Jerusalem" 32
476 11.32 "Jerusalem" 30
591 16.58 "Jerusalem" 30
468 14.24 "Jerusalem" 29
514 16.9 "Jerusalem" 32
414 8.66 "Jerusalem" 28
611 18.05 "Jerusalem" 27
527 14.08 "Jerusalem" 31
513 13.92 "Jerusalem" 31
610 12.17 "Jerusalem" 27
551 9.91 "Jerusalem" 27
604 18 "Jerusalem" 24
448 11.89 "Jerusalem" 31
649 24.8 "Jerusalem" 33
451 17.03 "Jerusalem" 34
670 27.53 "Jerusalem" 34
615 14.84 "Jerusalem" 38
437 7.86 "Jerusalem" 33
445 8.9 "Jerusalem" 19
480 8.37 "Jerusalem" 29
687 19.63 "Jerusalem" 30
620 25.41 "Jerusalem" 31
546 15.68 "Jerusalem" 29
417 5.37 "Jerusalem" 39
541 12.14 "Jerusalem" 33
532 12 "Jerusalem" 34
643 26.41 "Jerusalem" 25
523 13.3 "Jerusalem" 22
446 7.01 "Jerusalem" 33
549 9.78 "Jerusalem" 23
573 12.79 "Jerusalem" 22
459 11.08 "Jerusalem" 34
527 14.23 "Jerusalem" 33
377 8.67 "Jerusalem" 27
517 11.59 "Jerusalem" 27
703 27.02 "Jerusalem" 27
516 10.6 "Jerusalem" 37
538 12.23 "Jerusalem" 24
543 12.41 "Jerusalem" 29
541 10.52 "Jerusalem" 32
546 12.32 "Jerusalem" 30
443 11.94 "Jerusalem" 29
519 15.17 "Jerusalem" 29
492 10.73 "Jerusalem" 37
491 6.8 "Jerusalem" 27
508 12.9 "Jerusalem" 27
492 10.28 "Jerusalem" 34
638 22.79 "Jerusalem" 30
518 15.43 "Jerusalem" 37
622 17.86 "Jerusalem" 32
491 8.57 "Jerusalem" 32
633 20.82 "Jerusalem" 38
492 9.47 "Jerusalem" 27
481 15.01 "Jerusalem" 35
484 15.7 "Jerusalem" 28
651 25.39 "Jerusalem" 30
557 13.33 "Jerusalem" 26
597 15.47 "Jerusalem" 31
511 13.38 "Jerusalem" 32
518 10.64 "Jerusalem" 24
448 9.95 "Jerusalem" 25
477 13.67 "Jerusalem" 33
388 9.17 "Jerusalem" 29
605 12.51 "Jerusalem" 22
562 16.68 "Jerusalem" 29
570 10.66 "Jerusalem" 32
506 10.59 "Jerusalem" 26
525 18.9 "Jerusalem" 30
549 13.62 "Jerusalem" 27
543 11.45 "Jerusalem" 36
624 19.01 "Jerusalem" 31
652 17.14 "Jerusalem" 32
513 9.66 "Jerusalem" 42
633 19.43 "Jerusalem" 34
593 19.29 "Jerusalem" 29
396 8.94 "Jerusalem" 28
383 6.57 "Jerusalem" 32
395 5.9 "Jerusalem" 28
549 14.31 "Jerusalem" 35
540 11.69 "Jerusalem" 33
626 18.59 "Jerusalem" 32
445 10.39 "Jerusalem" 31
321 3.86 "Jerusalem" 32
425 6.65 "Jerusalem" 30
504 11.91 "Jerusalem" 31
530 10.16 "Jerusalem" 31
455 10.15 "Jerusalem" 23
589 25.45 "Jerusalem" 26
448 11.39 "Jerusalem" 28
633 19.75 "Jerusalem" 31
566 14.55 "Jerusalem" 33
414 7.4 "Jerusalem" 31
507 9.95 "Jerusalem" 34
451 7.18 "Jerusalem" 26
466 10.05 "Jerusalem" 29
560 11.05 "Jerusalem" 21
592 14.2 "Jerusalem" 34
505 13.52 "Jerusalem" 27
364 3.91 "Jerusalem" 27
469 11.84 "Jerusalem" 37
363 6.04 "Jerusalem" 33
530 12.97 "Jerusalem" 26
520 13.61 "Jerusalem" 32
442 10.57 "Jerusalem" 25
425 8.7 "Jerusalem" 31
563 13.44 "Jerusalem" 35
529 15.05 "Jerusalem" 37
787 25.56 "Jerusalem" 31
553 13.79 "Jerusalem" 33
447 13.22 "Jerusalem" 27
526 14.16 "Jerusalem" 27
388 8.36 "Jerusalem" 27
446 10.39 "Jerusalem" 35
527 11.75 "Jerusalem" 25
640 18.13 "Jerusalem" 27
408 8.77 "Jerusalem" 36
593 11.07 "Jerusalem" 32
375 9.28 "Jerusalem" 24
633 19.41 "Jerusalem" 31
576 9.35 "Jerusalem" 28
612 16.99 "Jerusalem" 33
646 17.14 "Jerusalem" 25
536 17.33 "Jerusalem" 36
392 11.31 "Jerusalem" 31
468 13.85 "Jerusalem" 37
601 17.73 "Jerusalem" 29
440 9.16 "Jerusalem" 30
500 7.36 "Jerusalem" 28
631 23.24 "Jerusalem" 31
505 8.57 "Jerusalem" 29
474 8.78 "Jerusalem" 29
568 15.99 "Jerusalem" 32
574 12.7 "Jerusalem" 32
608 23.59 "Jerusalem" 21
500 10.15 "Jerusalem" 23
545 14.17 "Jerusalem" 32
538 13.12 "Jerusalem" 24
420 10.02 "Jerusalem" 34
507 13.81 "Jerusalem" 30
467 10.25 "Jerusalem" 30
504 13.85 "Jerusalem" 23
615 23.67 "Jerusalem" 27
619 16.88 "Jerusalem" 33
539 11.34 "Jerusalem" 34
600 19.52 "Jerusalem" 25
478 9.38 "Jerusalem" 34
439 7.1 "Jerusalem" 34
477 7.87 "Jerusalem" 23
480 12.27 "Jerusalem" 28
556 13.95 "Jerusalem" 30
553 15.15 "Jerusalem" 29
497 8.43 "Jerusalem" 27
624 15.63 "Jerusalem" 32
522 9.18 "Jerusalem" 31
589 13.38 "Jerusalem" 37
609 16.85 "Jerusalem" 27
549 14.76 "Jerusalem" 30
466 15.93 "Jerusalem" 26
553 6.83 "Jerusalem" 26
471 8.59 "Jerusalem" 29
493 10.73 "Jerusalem" 33
413 9.39 "Jerusalem" 36
531 12.5 "Jerusalem" 28
480 11.12 "Jerusalem" 27
458 10.33 "Jerusalem" 31
545 16.9 "Jerusalem" 35
578 16.83 "Jerusalem" 33
444 9.38 "Jerusalem" 30
521 9.79 "Jerusalem" 24
607 20.69 "Jerusalem" 27
488 12.9 "Jerusalem" 34
528 8.93 "Jerusalem" 34
594 17.53 "Jerusalem" 25
758 24.25 "Jerusalem" 31
563 15.91 "Jerusalem" 27
433 8.44 "Jerusalem" 38
638 20.9 "Jerusalem" 31
506 9.74 "Jerusalem" 25
536 20.49 "Jerusalem" 32
398 4.69 "Jerusalem" 28
612 19.95 "Jerusalem" 29
507 17.37 "Jerusalem" 27
426 10.63 "Jerusalem" 35
516 13.42 "Jerusalem" 26
564 13.13 "Jerusalem" 40
524 12.26 "Jerusalem" 34
401 5.2 "Jerusalem" 23
571 14.78 "Jerusalem" 24
395 10.2 "Jerusalem" 30
527 11.82 "Jerusalem" 29
470 10.96 "Jerusalem" 32
472 12.33 "Jerusalem" 33
493 12.23 "Jerusalem" 23
402 9.63 "Jerusalem" 35
546 14.17 "Jerusalem" 28
401 5.85 "Jerusalem" 29
539 16.71 "Jerusalem" 40
567 15.76 "Jerusalem" 35
590 11.82 "Jerusalem" 29
652 15.66 "Jerusalem" 30
660 21.91 "Jerusalem" 27
664 18.53 "Jerusalem" 29
659 20.13 "Jerusalem" 35
469 11.37 "Jerusalem" 32
534 8.71 "Jerusalem" 33
397 12.3 "Jerusalem" 28
376 4.35 "Jerusalem" 35
512 11.49 "Jerusalem" 34
563 15.13 "Jerusalem" 31
551 16.18 "Jerusalem" 29
505 13.56 "Jerusalem" 27
493 10.13 "Jerusalem" 25
670 25.72 "Jerusalem" 25
492 9.33 "Jerusalem" 28
571 15.68 "Jerusalem" 32
615 15.66 "Jerusalem" 28
548 20.02 "Jerusalem" 33
457 8.04 "Jerusalem" 31
482 11.48 "Jerusalem" 27
597 10.96 "Jerusalem" 30
453 5.99 "Jerusalem" 31
436 8.57 "Jerusalem" 27
632 24.66 "Jerusalem" 37
627 26.79 "Jerusalem" 35
328 3.9 "Jerusalem" 29
595 12.02 "Jerusalem" 32
